released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,mode
29,118,80,21,55,1,26,17,Major
25,92,91,79,66,32,9,16,Minor
1,112,45,19,60,63,9,6,Major
25,140,79,56,91,26,13,21,Major
29,105,73,52,76,13,5,3,Major
8,178,76,63,77,14,15,22,Major
23,108,96,71,42,57,8,9,Minor
21,173,40,19,29,86,34,4,Major
7,101,67,40,90,3,34,6,Major
1,120,80,24,62,41,11,23,Minor
23,144,73,66,80,44,9,12,Major
19,133,75,96,61,0,18,4,Major
22,158,46,62,83,53,97,28,Minor
1,120,81,92,90,9,8,7,Major
21,129,61,59,46,56,13,5,Major
18,102,74,45,89,5,26,13,Major
13,124,79,79,84,2,5,5,Minor
20,90,73,31,45,85,11,3,Minor
14,161,78,65,52,46,12,31,Minor
30,120,60,11,33,90,8,5,Major
28,81,45,12,57,7,23,3,Major
1,150,78,47,70,18,15,9,Minor
2,105,76,58,84,10,13,10,Major
10,79,63,76,67,38,6,4,Major
4,146,52,7,61,51,11,3,Minor
17,124,64,8,37,79,9,5,Major
1,126,53,66,85,2,24,4,Major
6,121,75,53,74,2,11,5,Major
3,136,80,33,60,0,32,14,Minor
25,102,77,26,63,58,11,5,Minor
27,77,73,54,74,23,41,23,Major
10,98,82,54,59,69,18,10,Minor
15,84,44,22,48,38,33,24,Minor
28,102,89,77,82,3,17,11,Major
1,120,42,33,26,92,13,3,Major
10,117,52,73,91,0,11,7,Major
7,72,45,27,33,82,14,4,Minor
3,168,67,29,47,5,22,26,Major
11,94,52,68,69,13,33,8,Major
10,145,41,65,88,0,26,5,Major
27,134,71,14,61,1,23,33,Major
23,148,35,24,93,0,10,8,Major
10,127,60,40,89,9,60,6,Minor
24,172,74,79,66,11,8,16,Minor
7,90,75,19,46,21,34,8,Major
27,96,57,30,40,38,26,3,Major
10,138,74,65,67,46,36,4,Minor
28,120,72,67,72,0,13,4,Major
9,125,70,65,74,1,34,4,Major
15,123,82,80,86,1,30,13,Major
9,81,79,44,54,41,13,24,Major
26,171,55,10,85,7,8,20,Major
20,91,77,60,32,84,8,5,Major
12,84,56,61,76,10,14,11,Minor
7,115,90,74,54,16,13,28,Minor
29,125,69,70,89,4,49,3,Major
14,122,80,62,69,28,13,7,Minor
29,92,85,92,54,16,29,7,Major
18,90,63,75,75,17,11,8,Minor
10,94,84,90,70,9,14,8,Minor
1,93,81,53,78,18,6,24,Major
11,130,51,50,76,30,10,7,Minor
11,180,35,23,61,23,19,6,Minor
11,134,53,31,31,92,28,3,Major
1,95,92,31,89,3,8,25,Minor
19,184,69,91,63,11,9,31,Major
11,147,47,50,80,10,32,38,Minor
2,123,52,44,60,40,26,3,Major
1,123,91,49,61,3,17,22,Minor
1,90,90,79,71,26,7,37,Minor
4,160,61,65,64,1,12,4,Minor
16,115,60,37,71,8,48,4,Major
4,141,37,17,67,2,34,9,Major
5,160,31,30,88,7,8,8,Major
4,145,57,23,66,4,15,4,Major
21,89,46,43,43,23,8,22,Minor
24,95,84,49,72,8,15,8,Minor
10,160,60,47,62,3,38,4,Major
14,174,67,74,75,44,7,30,Minor
28,92,77,76,84,3,38,4,Major
1,134,93,61,74,9,17,8,Major
19,172,31,4,86,1,28,17,Minor
17,80,76,92,62,6,8,13,Major
30,150,91,42,60,0,9,12,Minor
21,80,78,53,74,4,45,21,Minor
16,166,81,83,75,14,29,34,Minor
4,120,67,8,54,27,8,4,Major
29,92,86,89,79,17,11,6,Major
28,85,74,61,52,30,26,9,Minor
15,154,79,86,52,66,9,7,Minor
22,92,73,37,74,28,14,6,Minor
11,140,89,75,70,6,13,5,Major
11,89,65,60,60,11,10,40,Major
28,135,89,89,86,16,8,5,Minor
19,140,51,66,53,60,11,18,Minor
24,82,47,44,76,8,9,3,Major
1,79,78,58,45,47,18,3,Major
4,88,31,31,63,47,21,12,Major
24,139,44,18,38,70,12,4,Major
14,124,73,68,83,55,90,7,Minor
4,80,39,45,55,73,9,21,Minor
4,120,84,54,51,47,12,40,Minor
4,80,56,19,46,92,11,3,Minor
4,117,92,62,86,11,24,24,Major
19,117,76,77,52,4,8,3,Minor
16,140,62,46,73,10,67,11,Minor
6,99,68,57,77,2,10,5,Major
29,93,74,59,87,3,8,5,Major
24,106,44,8,20,74,11,3,Major
11,124,81,68,63,17,10,22,Major
4,95,76,96,70,18,33,4,Major
21,96,87,82,53,10,5,8,Minor
11,92,81,40,73,15,9,8,Minor
3,124,95,36,37,35,10,28,Major
3,72,64,76,44,70,12,4,Major
4,71,28,26,20,19,30,3,Minor
1,135,78,55,57,4,10,8,Minor
4,95,81,56,70,4,5,24,Major
3,71,59,70,74,56,11,40,Minor
